VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,  55,2631,4095,4095,1463,1446,1298,2118,1403,1020,
  57,  56,2719,4095,4095,1464,1445,1297,2115,1429,1020,
  55,  56,2720,4095,4095,1463,1445,1298,2115,1428,1021,
  57,  57,2687,4095,4095,1464,1444,1300,2115,1410,1021,
  57,  56,2695,4095,4095,1464,1445,1298,2116,1421,1021,
  56,  56,2713,4095,4095,1462,1445,1297,2115,1425,1022,
  56,  55,2710,4095,4095,1463,1445,1296,2118,1424,1022,
  56,  57,2692,4095,4095,1463,1445,1296,2113,1416,1021,
  56,  55,2699,4095,4095,1463,1444,1295,2118,1421,1020,
  57,  56,2711,4095,4095,1463,1444,1300,2117,1425,1019,
  55,  55,2712,4095,4095,1463,1445,1296,2116,1425,1021,
  55,  55,2691,4095,4095,1463,1445,1296,2118,1417,1019,
  55,  56,2704,4095,4095,1463,1446,1297,2116,1422,1021,
  55,  56,2735,4095,4095,1463,1446,1299,2116,1435,1020,
  56,  56,2736,4095,4095,1464,1445,1300,2116,1430,1019,
  57,  56,2715,4095,4095,1463,1446,1295,2115,1428,1021,
  57,  57,2731,4095,4095,1464,1445,1297,2117,1419,1022,
  57,  56,2732,4095,4095,1463,1446,1300,2117,1434,1021,
  54,  55,2700,4095,4095,1461,1445,1298,2118,1419,1020,
  56,  54,2702,4095,4095,1463,1445,1299,2120,1422,1019,
  57,  58,2734,4095,4095,1463,1446,1297,2115,1434,1021,
  56,  57,2735,4095,4095,1463,1446,1298,2117,1434,1020,
  57,  56,2698,4095,4095,1462,1445,1299,2115,1410,1020,
  56,  55,2708,4095,4095,1464,1446,1300,2116,1426,1021,
  57,  56,2734,4095,4095,1464,1444,1299,2117,1433,1021,
  57,  55,2735,4095,4095,1463,1445,1295,2116,1433,1020,
  56,  56,2701,4095,4095,1463,1445,1298,2116,1421,1021,
  55,  55,2709,4095,4095,1462,1445,1298,2118,1427,1021,
  53,  56,2730,4095,4095,1462,1448,1299,2117,1433,1021,
  55,  56,2715,4095,4095,1463,1445,1297,2114,1418,1019,
  55,  55,2707,4095,4095,1463,1445,1299,2117,1426,1019,
  56,  54,2724,4095,4095,1460,1443,1300,2116,1431,1019,
  55,  55,2737,4095,4095,1464,1443,1299,2115,1429,1022,
  56,  56,2735,4095,4095,1463,1445,1300,2116,1435,1021,
  57,  55,2735,4095,4095,1462,1445,1301,2117,1435,1019,
  56,  55,2730,4095,4095,1463,1445,1297,2114,1434,1020,
  55,  57,2736,4095,4095,1462,1445,1297,2118,1435,1021,
  55,  55,2739,4095,4095,1462,1446,1299,2117,1432,1022,
  57,  56,2727,4095,4095,1462,1443,1299,2118,1409,1022,
  57,  56,2732,4095,4095,1463,1445,1300,2117,1414,1021,
  56,  56,2733,4095,4095,1462,1447,1300,2116,1435,1020,
  55,  56,2721,4095,4095,1464,1444,1298,2117,1431,1019,
  55,  55,2703,4095,4095,1462,1443,1297,2117,1417,1021,
  55,  56,2720,4095,4095,1463,1444,1300,2117,1430,1020,
  58,  57,2737,4095,4095,1463,1443,1299,2113,1436,1020,
  55,  56,2735,4095,4095,1462,1445,1294,2118,1437,1021,
  56,  57,2718,4095,4095,1462,1446,1299,2118,1429,1021,
  56,  56,2729,4095,4095,1462,1446,1297,2118,1434,1020,
  55,  56,2736,4095,4095,1463,1445,1300,2118,1436,1021,
  56,  55,2739,4095,4095,1461,1445,1297,2116,1437,1021,
  55,  55,2724,4095,4095,1464,1445,1297,2117,1407,1021,
  55,  56,2733,4095,4095,1463,1444,1301,2115,1411,1021,
  58,  56,2737,4095,4095,1465,1445,1297,2115,1437,1021,
  57,  57,2737,4095,4095,1463,1444,1298,2117,1437,1021,
  57,  55,2707,4095,4095,1463,1445,1297,2118,1415,1019,
  55,  53,2722,4095,4095,1463,1445,1297,2115,1431,1020,
  57,  58,2739,4095,4095,1463,1445,1297,2115,1427,1021,
  56,  55,2739,4095,4095,1462,1445,1300,2115,1436,1021,
  57,  55,2740,4095,4095,1464,1445,1300,2117,1434,1021,
  57,  57,2731,4095,4095,1463,1445,1295,2116,1434,1020,
  57,  57,2734,4095,4095,1463,1445,1301,2118,1435,1021,
  55,  55,2735,4095,4095,1461,1445,1299,2115,1429,1021,
  57,  64,2735,4095,4095,1462,1444,1297,2116,1429,1023,
  56,  73,2735,4095,4095,1461,1446,1297,2115,1408,1021,
  57,  85,2735,4095,4095,1462,1445,1297,2115,1437,1021,
  56,  91,2739,4095,4095,1462,1445,1297,2116,1437,1020,
  56,  91,2716,4095,4095,1465,1444,1299,2114,1411,1021,
