VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,3180,3126,4095,4095,1474,1454,1225,2116,1425,1028,
3176,3180,3127,4095,4095,1473,1454,1229,2117,1425,1027,
3175,3179,3128,4095,4095,1473,1452,1228,2116,1425,1029,
3177,3180,3127,4095,4095,1474,1453,1227,2116,1425,1028,
3175,3181,3129,4095,4095,1474,1451,1225,2118,1426,1028,
3178,3181,3129,4095,4095,1474,1451,1228,2115,1425,1028,
3175,3183,3122,4095,4095,1476,1453,1203,2115,1415,1028,
3176,3180,3129,4095,4095,1474,1455,1226,2115,1425,1027,
3177,3181,3128,4095,4095,1476,1453,1231,2118,1427,1027,
3175,3182,3129,4095,4095,1475,1453,1228,2115,1423,1028,
3178,3181,3128,4095,4095,1476,1452,1230,2117,1425,1028,
3177,3172,3120,4095,4095,1473,1453,1215,2117,1421,1029,
3175,3183,3131,4095,4095,1474,1454,1227,2115,1426,1028,
3177,3180,3130,4095,4095,1474,1454,1228,2117,1426,1029,
3175,3181,3129,4095,4095,1473,1453,1226,2115,1426,1028,
3161,3162,3111,4095,4095,1475,1455,1194,2116,1415,1028,
3176,3181,3127,4095,4095,1474,1453,1219,2115,1424,1028,
3178,3181,3129,4095,4095,1475,1454,1227,2118,1426,1029,
3176,3182,3129,4095,4095,1475,1454,1227,2115,1426,1026,
3162,3166,3115,4095,4095,1475,1453,1211,2117,1420,1027,
3173,3176,3124,4095,4095,1473,1451,1221,2118,1422,1027,
3177,3181,3130,4095,4095,1474,1452,1225,2117,1423,1027,
3178,3179,3131,4095,4095,1473,1453,1227,2120,1427,1028,
3177,3181,3128,4095,4095,1473,1451,1229,2120,1427,1027,
3216,3220,3166,4095,4095,1476,1453,1283,2118,1450,1027,
3215,3220,3168,4095,4095,1473,1451,1285,2117,1452,1029,
3216,3221,3170,4095,4095,1475,1454,1285,2115,1451,1028,
3217,3222,3170,4095,4095,1473,1454,1288,2117,1452,1027,
