VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,3277,3223,4095,4095,1493,1471,1227,2116,1447,1036,
3271,3275,3224,4095,4095,1492,1469,1227,2120,1449,1036,
3271,3277,3223,4095,4095,1494,1469,1221,2114,1447,1035,
3269,3275,3221,4095,4095,1493,1469,1225,2116,1448,1035,
3272,3275,3221,4095,4095,1493,1471,1225,2116,1447,1034,
3270,3275,3221,4095,4095,1493,1471,1225,2116,1449,1034,
3269,3275,3224,4095,4095,1491,1469,1227,2118,1448,1036,
3272,3277,3222,4095,4095,1494,1470,1227,2118,1450,1036,
3269,3275,3221,4095,4095,1492,1468,1225,2119,1449,1035,
3263,3269,3215,4095,4095,1491,1469,1213,2115,1445,1037,
3268,3274,3219,4095,4095,1493,1470,1220,2115,1447,1035,
3263,3271,3217,4095,4095,1492,1469,1216,2118,1444,1036,
3267,3273,3219,4095,4095,1492,1468,1221,2117,1446,1036,
3267,3272,3219,4095,4095,1493,1469,1221,2116,1447,1035,
3263,3269,3213,4095,4095,1493,1467,1217,2117,1444,1035,
3238,3243,3191,4095,4095,1492,1468,1177,2119,1432,1035,
3240,3242,3193,4095,4095,1493,1469,1178,2116,1432,1036,
3249,3255,3201,4095,4095,1492,1469,1195,2117,1437,1037,
3254,3258,3204,4095,4095,1493,1467,1198,2119,1439,1036,
3259,3267,3211,4095,4095,1492,1467,1208,2117,1442,1037,
3179,3180,3123,4095,4095,1490,1469,1077,2117,1397,1036,
3179,3185,3133,4095,4095,1494,1470,1091,2118,1402,1036,
3177,3188,3134,4095,4095,1493,1471,1094,2116,1398,1035,
3189,3195,3136,4095,4095,1492,1469,1101,2115,1404,1036,
3178,3186,3139,4095,4095,1492,1470,1097,2116,1405,1036,
3178,3195,3139,4095,4095,1492,1470,1091,2120,1399,1035,
3174,3183,3131,4095,4095,1492,1470,1095,2118,1401,1036,
3178,3189,3130,4095,4095,1493,1472,1099,2117,1403,1037,
3182,3186,3127,4095,4095,1491,1470,1091,2117,1397,1035,
3183,3186,3136,4095,4095,1492,1470,1103,2118,1406,1035,
3161,3172,3122,4095,4095,1493,1472,1074,2116,1394,1037,
3125,3151,3095,4095,4095,1492,1472,1037,2117,1384,1036,
3120,3121,3074,4095,4095,1493,1473,1000,2115,1375,1036,
3091,3099,3049,4095,4095,1492,1473, 969,2117,1359,1037,
3077,3097,3039,4095,4095,1493,1472, 965,2120,1357,1035,
3238,3244,3190,4095,4095,1493,1473,1185,2117,1434,1036,
3243,3249,3194,4095,4095,1493,1474,1189,2116,1435,1036,
3249,3256,3202,4095,4095,1493,1475,1192,2115,1436,1035,
3254,3259,3206,4095,4095,1492,1474,1209,2118,1441,1035,
3258,3266,3198,4095,4095,1493,1474,1185,2117,1434,1035,
3178,3187,3131,4095,4095,1493,1474,1091,2118,1405,1035,
3174,3183,3125,4095,4095,1493,1474,1077,2118,1401,1037,
3176,3187,3131,4095,4095,1492,1475,1092,2117,1403,1035,
3157,3173,3121,4095,4095,1493,1475,1074,2115,1398,1036,
3176,3179,3135,4095,4095,1493,1475,1091,2118,1401,1036,
3157,3161,3109,4095,4095,1494,1475,1063,2117,1393,1035,
3124,3135,3090,4095,4095,1493,1474,1020,2116,1384,1037,
3113,3121,3058,4095,4095,1493,1476,1001,2120,1370,1036,
3077,3087,3033,4095,4095,1492,1474, 942,2117,1355,1035,
3071,3088,3042,4095,4095,1493,1475, 952,2116,1356,1036,
3237,3242,3192,4095,4095,1493,1476,1184,2117,1434,1035,
3239,3245,3195,4095,4095,1493,1476,1191,2117,1436,1036,
3237,3237,3183,4095,4095,1495,1476,1169,2115,1430,1036,
3257,3263,3209,4095,4095,1494,1477,1211,2118,1444,1035,
3257,3263,3209,4095,4095,1493,1477,1212,2116,1444,1036,
3170,3185,3129,4095,4095,1495,1476,1092,2119,1404,1035,
3178,3191,3136,4095,4095,1493,1474,1098,2117,1404,1035,
3187,3192,3134,4095,4095,1493,1477,1101,2115,1405,1035,
3179,3184,3133,4095,4095,1493,1475,1092,2114,1405,1036,
3175,3191,3135,4095,4095,1496,1475,1078,2114,1401,1035,
3152,3159,3101,4095,4095,1495,1476,1061,2120,1391,1035,
3125,3128,3076,4095,4095,1496,1477,1024,2116,1377,1036,
3109,3115,3050,4095,4095,1494,1478, 994,2117,1367,1035,
3089,3099,3041,4095,4095,1496,1478, 968,2115,1358,1036,
3229,3233,3180,4095,4095,1496,1477,1174,2117,1428,1036,
3240,3247,3192,4095,4095,1495,1477,1188,2118,1434,1036,
3243,3252,3197,4095,4095,1496,1477,1193,2117,1435,1035,
3249,3260,3204,4095,4095,1495,1478,1206,2116,1439,1037,
3256,3262,3210,4095,4095,1496,1477,1211,2116,1443,1036,
3221,3226,3173,4095,4095,1497,1477,1156,2118,1421,1035,
3175,3187,3131,4095,4095,1494,1476,1097,2118,1403,1035,
3175,3189,3132,4095,4095,1497,1478,1102,2117,1405,1036,
3174,3188,3126,4095,4095,1498,1478,1099,2117,1402,1035,
3180,3190,3133,4095,4095,1497,1478,1103,2116,1407,1035,
3165,3168,3121,4095,4095,1496,1477,1078,2117,1397,1035,
3133,3137,3085,4095,4095,1495,1479,1028,2116,1383,1037,
3111,3114,3061,4095,4095,1496,1480, 994,2117,1369,1037,
3080,3105,3050,4095,4095,1495,1480, 973,2118,1361,1036,
3078,3087,3034,4095,4095,1496,1478, 963,2118,1358,1035,
3235,3240,3186,4095,4095,1496,1478,1154,2115,1424,1036,
3239,3245,3189,4095,4095,1495,1479,1188,2118,1433,1036,
3241,3250,3197,4095,4095,1497,1481,1195,2115,1437,1034,
3251,3257,3204,4095,4095,1495,1479,1209,2115,1440,1035,
3257,3263,3209,4095,4095,1497,1479,1216,2118,1444,1036,
3180,3182,3136,4095,4095,1496,1479,1095,2119,1402,1037,
3179,3186,3136,4095,4095,1497,1479,1101,2115,1405,1036,
3180,3186,3131,4095,4095,1495,1481,1096,2118,1404,1037,
3175,3179,3130,4095,4095,1497,1480,1088,2116,1405,1036,
3171,3184,3126,4095,4095,1495,1479,1089,2117,1398,1037,
