VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,3137,3083,4095,4095,1466,1442,1221,2115,1404,1018,
3128,3136,3079,4095,4095,1465,1443,1217,2119,1399,1021,
3133,3141,3084,4095,4095,1463,1442,1220,2120,1403,1021,
3132,3139,3082,4095,4095,1463,1444,1218,2117,1404,1021,
3137,3142,3089,4095,4095,1463,1444,1223,2117,1407,1020,
3133,3143,3089,4095,4095,1464,1445,1225,2118,1406,1020,
3130,3140,3083,4095,4095,1463,1442,1224,2120,1403,1020,
3131,3141,3083,4095,4095,1463,1443,1219,2120,1406,1020,
3133,3141,3085,4095,4095,1463,1443,1221,2116,1405,1019,
3135,3142,3087,4095,4095,1464,1442,1224,2119,1405,1018,
3135,3141,3087,4095,4095,1465,1442,1221,2117,1407,1019,
3132,3141,3084,4095,4095,1466,1442,1219,2118,1403,1019,
3135,3141,3086,4095,4095,1463,1443,1223,2118,1407,1018,
3136,3141,3086,4095,4095,1466,1442,1224,2117,1406,1021,
3116,3141,3086,4095,4095,1463,1443,1222,2119,1405,1019,
3135,3142,3087,4095,4095,1466,1443,1225,2118,1406,1017,
3133,3141,3086,4095,4095,1465,1443,1209,2118,1394,1020,
3135,3144,3087,4095,4095,1465,1442,1226,2119,1406,1019,
3134,3144,3086,4095,4095,1464,1443,1223,2118,1407,1019,
3121,3132,3073,4095,4095,1464,1442,1212,2121,1400,1020,
3137,3141,3087,4095,4095,1464,1441,1222,2119,1407,1020,
3134,3141,3085,4095,4095,1467,1444,1213,2115,1400,1019,
3137,3142,3087,4095,4095,1464,1445,1222,2117,1407,1019,
3135,3141,3087,4095,4095,1465,1444,1224,2115,1406,1018,
3129,3138,3083,4095,4095,1465,1443,1223,2117,1404,1019,
3135,3143,3087,4095,4095,1464,1443,1225,2118,1407,1020,
3133,3140,3085,4095,4095,1466,1443,1217,2117,1400,1018,
3133,3141,3088,4095,4095,1464,1443,1224,2118,1406,1019,
3135,3142,3089,4095,4095,1466,1442,1224,2117,1406,1021,
3133,3141,3085,4095,4095,1465,1442,1221,2115,1406,1018,
3115,3128,3063,4095,4095,1465,1444,1204,2117,1407,1019,
3131,3141,3086,4095,4095,1465,1443,1216,2116,1404,1019,
3109,3124,3061,4095,4095,1466,1443,1205,2116,1394,1019,
3136,3142,3088,4095,4095,1465,1443,1225,2117,1406,1018,
3134,3141,3086,4095,4095,1465,1442,1223,2117,1405,1019,
3123,3135,3072,4095,4095,1465,1443,1210,2118,1399,1019,
3133,3141,3085,4095,4095,1463,1443,1220,2116,1404,1017,
3125,3136,3077,4095,4095,1464,1443,1215,2118,1401,1018,
3136,3141,3087,4095,4095,1465,1443,1225,2117,1406,1019,
3133,3141,3087,4095,4095,1465,1442,1221,2119,1405,1019,
3128,3138,3081,4095,4095,1466,1443,1221,2118,1403,1020,
3133,3141,3085,4095,4095,1463,1442,1222,2117,1404,1020,
3130,3138,3083,4095,4095,1462,1443,1218,2120,1403,1020,
3135,3141,3087,4095,4095,1463,1444,1223,2118,1407,1020,
3131,3140,3083,4095,4095,1465,1441,1220,2119,1403,1019,
3131,3139,3084,4095,4095,1466,1444,1221,2119,1405,1018,
3134,3140,3087,4095,4095,1465,1443,1220,2118,1404,1021,
3133,3140,3086,4095,4095,1465,1443,1222,2117,1405,1019,
3134,3142,3087,4095,4095,1465,1442,1224,2119,1407,1020,
3135,3144,3088,4095,4095,1468,1444,1224,2117,1405,1017,
3132,3140,3085,4095,4095,1465,1443,1224,2116,1405,1019,
3132,3141,3087,4095,4095,1464,1444,1222,2120,1403,1019,
3133,3142,3087,4095,4095,1463,1442,1222,2118,1406,1020,
3110,3125,3061,4095,4095,1464,1443,1205,2117,1392,1017,
3135,3144,3086,4095,4095,1465,1442,1226,2120,1406,1019,
3136,3141,3087,4095,4095,1465,1442,1221,2116,1405,1019,
3121,3132,3067,4095,4095,1465,1443,1210,2120,1397,1018,
3134,3141,3086,4095,4095,1465,1444,1221,2117,1405,1018,
3099,3117,3049,4095,4095,1465,1442,1195,2117,1388,1019,
3080,3107,3034,4095,4095,1465,1443,1182,2118,1379,1019,
3078,3105,3028,4095,4095,1465,1443,1181,2117,1374,1019,
3067,3099,3018,4095,4095,1465,1442,1179,2117,1373,1018,
3083,3107,3033,4095,4095,1466,1442,1184,2117,1378,1019,
3082,3105,3027,4095,4095,1465,1441,1181,2120,1378,1019,
3083,3109,3034,4095,4095,1463,1444,1186,2118,1381,1019,
