VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,  57,  69,4095,4095,1464,1442,1300,2115,1435,1021,
  57,  56,  69,4095,4095,1462,1441,1300,2117,1443,1019,
  57,  56,  70,4095,4095,1462,1439,1298,2119,1421,1020,
  58,  56,  69,4095,4095,1463,1442,1297,2117,1443,1020,
  56,  57,  70,4095,4095,1463,1439,1300,2111,1442,1022,
  57,  57,  70,4095,4095,1463,1442,1298,2117,1445,1020,
  56,  57,  69,4095,4095,1460,1442,1294,2118,1411,1019,
  57,  56,  69,4095,4095,1464,1439,1298,2116,1445,1018,
  57,  56,  70,4095,4095,1462,1441,1296,2119,1432,1019,
  56,  57,  69,4095,4095,1465,1439,1298,2115,1444,1019,
  57,  56,  69,4095,4095,1463,1442,1295,2115,1445,1019,
  58,  55,  69,4095,4095,1462,1441,1295,2116,1439,1020,
  56,  56,  69,4095,4095,1462,1440,1298,2116,1443,1021,
  57,  57,  69,4095,4095,1463,1441,1300,2117,1439,1019,
  56,  57,  69,4095,4095,1462,1440,1299,2115,1444,1020,
  57,  56,  69,4095,4095,1462,1441,1295,2116,1445,1021,
  57,  57,  70,4095,4095,1462,1439,1297,2117,1423,1019,
  56,  56,  69,4095,4095,1462,1440,1296,2117,1439,1018,
  56,  56,  69,4095,4095,1461,1440,1296,2116,1444,1021,
  55,  55,  68,4095,4095,1461,1441,1298,2115,1437,1020,
  55,  56,  69,4095,4095,1461,1441,1295,2116,1449,1020,
  56,  55,  69,4095,4095,1462,1441,1300,2117,1423,1021,
  56,  55,  69,4095,4095,1461,1441,1297,2115,1436,1020,
  57,  56,  70,4095,4095,1461,1441,1297,2117,1439,1019,
  57,  56,  70,4095,4095,1463,1441,1299,2117,1445,1020,
  57,  57,  71,4095,4095,1463,1441,1299,2115,1444,1020,
  56,  56,  70,4095,4095,1462,1441,1298,2115,1445,1020,
  57,  57,  69,4095,4095,1463,1440,1297,2118,1427,1019,
  57,  57,  70,4095,4095,1462,1440,1299,2120,1425,1019,
  56,  55,  69,4095,4095,1461,1441,1298,2118,1448,1020,
  57,  56,  69,4095,4095,1463,1442,1297,2117,1419,1019,
  56,  57,  69,4095,4095,1462,1441,1296,2117,1444,1018,
  57,  56,  69,4095,4095,1462,1441,1300,2117,1423,1021,
  56,  57,  70,4095,4095,1464,1440,1297,2118,1443,1020,
  55,  56,  70,4095,4095,1461,1443,1301,2115,1438,1021,
  57,  56,  68,4095,4095,1462,1441,1296,2118,1425,1019,
  56,  57,  68,4095,4095,1461,1441,1296,2118,1443,1019,
  56,  56,  69,4095,4095,1460,1441,1297,2115,1441,1019,
  57,  57,  70,4095,4095,1462,1440,1299,2118,1443,1021,
  55,  55,  69,4095,4095,1461,1441,1300,2115,1441,1019,
  56,  57,  70,4095,4095,1464,1440,1299,2117,1444,1019,
  57,  55,  69,4095,4095,1462,1440,1297,2117,1433,1019,
  58,  57,  68,4095,4095,1462,1442,1298,2116,1442,1018,
  55,  55,  69,4095,4095,1463,1440,1297,2117,1431,1021,
  55,  55,  69,4095,4095,1462,1439,1300,2118,1444,1019,
  57,  56,  69,4095,4095,1464,1440,1297,2113,1431,1018,
  57,  57,  69,4095,4095,1464,1441,1297,2115,1436,1019,
  57,  56,  70,4095,4095,1462,1441,1298,2117,1445,1019,
  55,  56,  70,4095,4095,1462,1441,1299,2115,1444,1020,
  57,  56,  68,4095,4095,1461,1439,1297,2117,1419,1018,
  55,  57,  66,4095,4095,1462,1440,1297,2115,1425,1020,
  57,  57,  69,4095,4095,1465,1440,1299,2117,1445,1019,
  57,  57,  70,4095,4095,1462,1441,1299,2117,1444,1018,
  57,  56,  69,4095,4095,1465,1440,1297,2117,1415,1019,
  56,  57,  69,4095,4095,1462,1441,1298,2115,1441,1019,
  56,  57,  70,4095,4095,1461,1441,1296,2117,1448,1020,
  56,  56,  69,4095,4095,1462,1441,1298,2117,1447,1019,
  56,  56,  69,4095,4095,1463,1441,1297,2115,1442,1019,
  57,  56,  70,4095,4095,1462,1441,1298,2119,1445,1020,
  56,  56,  68,4095,4095,1461,1441,1298,2117,1434,1018,
  57,  55,  69,4095,4095,1462,1441,1295,2116,1445,1020,
  57,  57,  69,4095,4095,1462,1440,1297,2117,1418,1018,
  57,  57,  69,4095,4095,1464,1441,1297,2115,1446,1019,
  57,  55,  69,4095,4095,1461,1441,1298,2118,1444,1019,
  56,  57,  68,4095,4095,1462,1442,1298,2115,1438,1019,
  56,  57,  69,4095,4095,1464,1439,1297,2117,1446,1019,
  57,  56,  70,4095,4095,1461,1441,1297,2118,1445,1020,
  55,  56,  69,4095,4095,1463,1441,1298,2114,1440,1018,
  57,  56,  70,4095,4095,1460,1441,1297,2118,1445,1020,
  57,  57,  69,4095,4095,1462,1441,1299,2115,1446,1021,
  57,  55,  69,4095,4095,1463,1440,1300,2115,1420,1019,
  57,  57,  70,4095,4095,1462,1441,1296,2115,1445,1019,
  57,  55,  70,4095,4095,1462,1442,1300,2113,1444,1020,
  56,  56,  69,4095,4095,1462,1441,1297,2118,1441,1020,
  56,  56,  69,4095,4095,1462,1441,1301,2118,1436,1020,
  57,  57,  69,4095,4095,1462,1441,1298,2117,1446,1019,
  56,  55,  70,4095,4095,1462,1441,1296,2117,1413,1018,
  57,  57,  69,4095,4095,1462,1439,1297,2116,1445,1019,
  57,  56,  70,4095,4095,1463,1440,1298,2118,1444,1020,
  57,  57,  70,4095,4095,1463,1441,1295,2117,1439,1020,
  56,  55,  69,4095,4095,1462,1441,1298,2116,1445,1020,
  57,  56,  69,4095,4095,1460,1441,1298,2115,1444,1019,
  57,  57,  68,4095,4095,1461,1442,1300,2117,1445,1018,
  56,  56,  69,4095,4095,1463,1440,1298,2117,1445,1019,
  55,  56,  70,4095,4095,1461,1441,1299,2116,1420,1019,
  57,  57,  68,4095,4095,1462,1440,1297,2120,1437,1018,
  57,  57,  69,4095,4095,1463,1440,1296,2116,1440,1018,
  57,  58,  69,4095,4095,1461,1440,1298,2117,1405,1019,
  56,  55,  69,4095,4095,1462,1441,1300,2118,1399,1019,
  56,  56,  70,4095,4095,1462,1441,1297,2117,1438,1020,
  56,  56,  68,4095,4095,1462,1441,1302,2119,1414,1019,
  56,  57,  68,4095,4095,1463,1441,1299,2117,1427,1019,
  57,  57,  68,4095,4095,1464,1439,1300,2116,1421,1019,
  56,  56,  69,4095,4095,1461,1439,1295,2118,1435,1020,
  57,  56,  69,4095,4095,1462,1442,1299,2115,1430,1019,
  57,  57,  69,4095,4095,1462,1441,1298,2117,1434,1019,
  56,  56,  69,4095,4095,1462,1440,1298,2117,1436,1018,
  56,  56,  69,4095,4095,1462,1441,1298,2116,1414,1020,
  57,  56,  68,4095,4095,1462,1439,1299,2115,1434,1020,
  57,  57,  69,4095,4095,1462,1439,1297,2120,1443,1019,
  56,  56,  70,4095,4095,1462,1441,1301,2118,1443,1020,
  57,  56,  69,4095,4095,1464,1440,1297,2117,1436,1020,
  57,  57,  69,4095,4095,1461,1441,1297,2115,1443,1019,
  56,  57,  68,4095,4095,1462,1441,1300,2120,1445,1019,
  57,  56,  68,4095,4095,1463,1440,1302,2117,1437,1019,
  57,  57,  68,4095,4095,1462,1441,1295,2116,1443,1018,
  57,  55,  69,4095,4095,1464,1441,1298,2114,1431,1019,
  56,  55,  69,4095,4095,1461,1441,1297,2116,1446,1017,
  56,  55,  69,4095,4095,1461,1440,1296,2116,1435,1018,
  57,  57,  69,4095,4095,1463,1440,1296,2113,1440,1018,
  56,  56,  69,4095,4095,1462,1442,1297,2117,1420,1019,
  56,  55,  69,4095,4095,1462,1440,1299,2117,1430,1019,
  56,  56,  69,4095,4095,1462,1441,1299,2117,1431,1020,
  56,  55,  69,4095,4095,1461,1440,1297,2123,1432,1021,
  56,  56,  69,4095,4095,1463,1441,1298,2117,1443,1017,
  58,  57,  69,4095,4095,1462,1440,1298,2117,1441,1019,
  57,  56,  70,4095,4095,1461,1441,1298,2117,1445,1019,
  57,  57,  70,4095,4095,1463,1441,1298,2118,1428,1019,
  56,  55,  69,4095,4095,1461,1441,1298,2116,1448,1020,
  56,  55,  69,4095,4095,1461,1441,1299,2119,1443,1019,
  56,  56,  69,4095,4095,1462,1441,1300,2117,1439,1018,
  56,  55,  69,4095,4095,1463,1440,1298,2118,1435,1019,
  55,  57,  69,4095,4095,1461,1440,1298,2116,1445,1018,
  55,  55,  69,4095,4095,1462,1441,1299,2116,1416,1018,
  57,  56,  69,4095,4095,1462,1441,1300,2119,1444,1018,
  56,  55,  69,4095,4095,1461,1441,1298,2116,1419,1019,
  57,  55,  69,4095,4095,1461,1441,1297,2115,1440,1019,
  55,  57,  69,4095,4095,1461,1441,1299,2116,1446,1019,
  56,  57,  69,4095,4095,1462,1440,1297,2117,1445,1019,
  56,  55,  69,4095,4095,1462,1441,1297,2117,1444,1018,
  56,  54,  69,4095,4095,1462,1441,1297,2116,1445,1019,
  57,  57,  69,4095,4095,1461,1441,1296,2115,1425,1018,
  57,  57,  69,4095,4095,1463,1441,1298,2117,1439,1019,
  56,  57,  70,4095,4095,1461,1441,1300,2120,1446,1019,
  56,  57,  68,4095,4095,1463,1441,1298,2118,1445,1019,
   0,   0,   0,   0,   2,   0,   0, 128,   0,  57,  56,
 256, 256, 256, 271, 271, 261, 261, 261, 264, 261,1018,
  56,  56,  70,4095,4095,1462,1441,1298,2120,1425,1019,
  56,  56,  69,4095,4095,1463,1441,1296,2116,1440,1018,
  57,  56,  68,4095,4095,1462,1440,1297,2115,1448,1018,
  57,  58,  70,4095,4095,1461,1440,1296,2117,1421,1020,
  55,  57,  69,4095,4095,1461,1441,1297,2114,1445,1020,
  57,  56,  68,4095,4095,1462,1441,1297,2116,1445,1018,
  55,  57,  70,4095,4095,1462,1441,1298,2119,1430,1018,
  55,  57,  69,4095,4095,1461,1439,1299,2118,1446,1018,
  56,  55,  70,4095,4095,1460,1441,1295,2116,1447,1020,
  55,  56,  69,4095,4095,1461,1440,1298,2117,1447,1019,
  55,  55,  69,4095,4095,1461,1441,1298,2117,1437,1019,
  56,  57,  70,4095,4095,1463,1440,1299,2115,1445,1019,
  56,  55,  67,4095,4095,1462,1440,1301,2121,1430,1019,
  56,  56,  69,4095,4095,1464,1440,1297,2115,1445,1020,
  55,  56,  69,4095,4095,1463,1442,1297,2116,1439,1018,
  57,  55,  69,4095,4095,1461,1442,1298,2117,1442,1018,
  56,  57,  70,4095,4095,1461,1441,1296,2116,1434,1019,
  57,  57,  69,4095,4095,1462,1440,1300,2116,1442,1018,
  55,  56,  70,4095,4095,1462,1440,1295,2117,1431,1019,
  56,  57,  69,4095,4095,1460,1441,1298,2117,1445,1019,
  56,  55,  69,4095,4095,1463,1440,1294,2116,1444,1017,
  57,  55,  69,4095,4095,1461,1440,1298,2117,1443,1018,
  57,  57,  68,4095,4095,1463,1440,1298,2116,1443,1017,
  56,  57,  68,4095,4095,1461,1442,1299,2118,1435,1019,
  56,  56,  69,4095,4095,1463,1440,1300,2115,1436,1019,
  56,  56,  69,4095,4095,1462,1439,1298,2116,1442,1019,
  57,  55,  70,4095,4095,1463,1439,1297,2117,1438,1019,
  56,  56,  69,4095,4095,1463,1440,1299,2117,1441,1018,
  57,  56,  70,4095,4095,1460,1440,1297,2117,1429,1018,
  57,  55,  69,4095,4095,1463,1441,1295,2115,1437,1019,
  57,  56,  69,4095,4095,1462,1439,1297,2114,1457,1017,
  56,  57,  69,4095,4095,1461,1441,1298,2117,1404,1018,
  57,  56,  69,4095,4095,1462,1442,1298,2115,1458,1019,
  56,  56,  69,4095,4095,1459,1441,1298,2115,1449,1018,
  56,  55,  69,4095,4095,1462,1439,1298,2116,1454,1018,
  57,  57,  69,4095,4095,1463,1440,1298,2115,1449,1020,
  56,  57,  68,4095,4095,1461,1440,1298,2117,1457,1018,
  56,  58,  69,4095,4095,1462,1440,1297,2116,1446,1021,
  57,  56,  69,4095,4095,1462,1441,1295,2116,1457,1019,
  56,  57,  69,4095,4095,1461,1439,1298,2114,1453,1019,
  55,  55,  70,4095,4095,1460,1441,1300,2117,1460,1020,
  56,  55,  69,4095,4095,1461,1441,1295,2117,1459,1019,
  56,  56,  69,4095,4095,1461,1441,1297,2115,1461,1019,
  55,  56,  69,4095,4095,1463,1441,1299,2115,1459,1018,
  57,  55,  69,4095,4095,1464,1440,1295,2116,1448,1018,
  56,  55,  70,4095,4095,1460,1441,1294,2118,1457,1020,
  56,  57,  69,4095,4095,1461,1440,1297,2114,1450,1017,
  56,  56,  69,4095,4095,1460,1440,1300,2117,1457,1017,
  55,  55,  69,4095,4095,1463,1441,1298,2119,1448,1018,
  57,  57,  68,4095,4095,1463,1440,1296,2116,1457,1019,
  56,  57,  69,4095,4095,1462,1439,1299,2118,1444,1020,
  56,  56,  69,4095,4095,1461,1439,1297,2115,1458,1020,
  57,  56,  69,4095,4095,1461,1439,1298,2120,1446,1018,
  56,  57,  69,4095,4095,1462,1440,1299,2117,1457,1018,
  55,  56,  69,4095,4095,1462,1440,1298,2116,1448,1017,
  56,  55,  69,4095,4095,1463,1439,1297,2118,1458,1018,
  55,  57,  70,4095,4095,1461,1440,1301,2119,1444,1020,
  55,  54,  70,4095,4095,1461,1440,1299,2117,1455,1020,
  57,  56,  69,4095,4095,1462,1441,1298,2117,1458,1019,
  57,  57,  69,4095,4095,1462,1441,1297,2118,1458,1019,
  56,  56,  68,4095,4095,1462,1440,1298,2118,1457,1019,
  56,  56,  68,4095,4095,1462,1441,1298,2117,1459,1019,
  56,  56,  69,4095,4095,1462,1438,1298,2115,1458,1019,
  56,  57,  69,4095,4095,1461,1441,1299,2115,1456,1020,
  57,  56,  69,4095,4095,1462,1440,1295,2117,1457,1020,
  55,  56,  69,4095,4095,1461,1440,1297,2118,1457,1019,
  57,  55,  69,4095,4095,1460,1440,1299,2116,1457,1017,
  57,  55,  69,4095,4095,1461,1441,1299,2115,1458,1019,
  56,  55,  69,4095,4095,1461,1441,1295,2116,1443,1019,
  55,  55,  70,4095,4095,1461,1440,1296,2120,1457,1018,
  57,  56,  69,4095,4095,1462,1438,1297,2115,1445,1020,
  57,  56,  69,4095,4095,1462,1441,1296,2117,1457,1019,
  56,  56,  69,4095,4095,1462,1441,1298,2114,1452,1018,
  57,  57,  69,4095,4095,1463,1440,1301,2115,1446,1019,
  57,  56,  69,4095,4095,1459,1441,1297,2117,1455,1019,
  56,  57,  69,4095,4095,1462,1440,1297,2117,1442,1019,
  56,  57,  69,4095,4095,1462,1441,1295,2120,1435,1017,
  57,  56,  69,4095,4095,1462,1439,1299,2115,1442,1018,
  56,  56,  69,4095,4095,1462,1440,1299,2115,1436,1019,
  57,  55,  69,4095,4095,1462,1441,1299,2115,1444,1019,
  56,  56,  69,4095,4095,1462,1441,1298,2117,1421,1019,
  57,  56,  69,4095,4095,1461,1439,1297,2117,1440,1020,
  56,  55,  70,4095,4095,1461,1441,1298,2115,1409,1020,
  58,  56,  69,4095,4095,1463,1441,1296,2117,1421,1018,
  57,  56,  68,4095,4095,1462,1439,1300,2115,1431,1019,
  56,  57,  68,4095,4095,1461,1439,1298,2115,1441,1019,
  57,  57,  69,4095,4095,1462,1440,1300,2116,1407,1018,
  55,  55,  69,4095,4095,1461,1441,1301,2116,1442,1019,
  58,  56,  68,4095,4095,1462,1441,1298,2115,1430,1019,
  55,  55,  69,4095,4095,1461,1440,1295,2116,1439,1019,
  55,  56,  70,4095,4095,1460,1441,1297,2117,1428,1018,
  55,  55,  69,4095,4095,1461,1441,1298,2117,1437,1021,
  58,  57,  69,4095,4095,1462,1441,1297,2120,1429,1021,
  57,  56,  69,4095,4095,1463,1440,1299,2117,1423,1020,
  55,  57,  69,4095,4095,1461,1441,1300,2120,1431,1019,
  56,  55,  68,4095,4095,1460,1441,1296,2116,1428,1018,
  55,  56,  69,4095,4095,1460,1441,1298,2120,1428,1019,
  56,  56,  68,4095,4095,1461,1441,1295,2117,1424,1017,
  55,  56,  69,4095,4095,1461,1440,1297,2116,1429,1019,
  56,  57,  70,4095,4095,1461,1441,1298,2117,1443,1020,
  56,  57,  69,4095,4095,1463,1440,1298,2118,1438,1019,
  56,  56,  69,4095,4095,1461,1441,1297,2119,1438,1019,
  57,  56,  68,4095,4095,1463,1440,1297,2118,1440,1020,
  56,  57,  68,4095,4095,1462,1440,1299,2120,1439,1018,
  56,  57,  69,4095,4095,1460,1441,1297,2118,1445,1019,
  57,  56,  70,4095,4095,1464,1441,1298,2118,1444,1019,
  55,  56,  70,4095,4095,1463,1440,1299,2115,1445,1018,
  56,  57,  69,4095,4095,1461,1440,1298,2117,1435,1019,
  56,  56,  69,4095,4095,1461,1441,1298,2120,1445,1019,
  57,  57,  69,4095,4095,1463,1439,1298,2115,1436,1019,
  56,  57,  69,4095,4095,1462,1440,1298,2116,1445,1019,
  56,  56,  68,4095,4095,1461,1440,1299,2117,1438,1019,
  56,  56,  69,4095,4095,1461,1441,1295,2115,1434,1019,
  56,  54,  69,4095,4095,1461,1441,1297,2117,1442,1019,
  56,  57,  68,4095,4095,1461,1441,1298,2119,1429,1019,
  57,  57,  70,4095,4095,1462,1442,1301,2117,1442,1019,
  56,  57,  69,4095,4095,1463,1441,1298,2115,1392,1017,
  56,  56,  68,4095,4095,1462,1441,1299,2118,1391,1020,
  55,  56,  70,4095,4095,1462,1440,1294,2115,1424,1018,
  57,  58,  69,4095,4095,1461,1441,1298,2120,1401,1019,
  56,  56,  69,4095,4095,1462,1439,1298,2117,1445,1019,
  57,  55,  69,4095,4095,1461,1440,1300,2115,1295,1019,
  55,  57,  68,4095,4095,1461,1440,1296,2118,1291,1019,
  56,  56,  69,4095,4095,1461,1443,1301,2116,1289,1019,
  56,  56,  69,4095,4095,1461,1440,1298,2116,1287,1017,
  57,  56,  67,4095,4095,1462,1442,1295,2117,1291,1020,
  55,  55,  70,4095,4095,1460,1443,1299,2118,1291,1019,
  57,  55,  70,4095,4095,1462,1442,1300,2117,1290,1019,
  56,  57,  69,4095,4095,1461,1442,1299,2116,1289,1019,
  56,  56,  69,4095,4095,1461,1443,1295,2116,1289,1018,
  57,  56,  69,4095,4095,1461,1443,1298,2117,1284,1018,
  55,  57,  68,4095,4095,1462,1443,1299,2114,1245,1019,
  55,  55,  68,4095,4095,1461,1444,1297,2116,1208,1018,
  57,  57,  70,4095,4095,1463,1443,1297,2119,1148,1019,
  58,  57,  68,4095,4095,1461,1444,1300,2117,1135,1019,
  56,  56,  69,4095,4095,1462,1445,1297,2119,1101,1019,
  55,  56,  70,4095,4095,1462,1446,1299,2117,1401,1019,
  56,  56,  69,4095,4095,1460,1446,1294,2117,1394,1019,
  56,  57,  69,4095,4095,1461,1447,1299,2118,1424,1019,
  57,  55,  69,4095,4095,1463,1444,1295,2115,1435,1020,
  55,  57,  70,4095,4095,1461,1445,1297,2117,1445,1020,
  57,  57,  69,4095,4095,1461,1445,1297,2118,1297,1019,
  55,  56,  69,4095,4095,1464,1445,1299,2117,1295,1017,
  56,  56,  69,4095,4095,1464,1445,1297,2114,1294,1020,
  57,  58,  69,4095,4095,1461,1446,1298,2118,1292,1019,
  56,  56,  69,4095,4095,1462,1447,1299,2117,1285,1019,
  57,  55,  68,4095,4095,1462,1446,1300,2113,1242,1019,
  56,  57,  67,4095,4095,1462,1446,1298,2118,1199,1019,
  56,  55,  68,4095,4095,1462,1446,1300,2117,1160,1018,
  56,  55,  69,4095,4095,1463,1447,1297,2115,1134,1020,
  57,  57,  69,4095,4095,1462,1448,1297,2118,1225,1019,
  55,  56,  69,4095,4095,1462,1448,1298,2117,1400,1019,
  57,  57,  68,4095,4095,1462,1448,1297,2115,1409,1018,
  57,  55,  69,4095,4095,1464,1448,1297,2118,1428,1019,
  57,  55,  69,4095,4095,1463,1448,1297,2118,1435,1019,
  56,  56,  69,4095,4095,1464,1447,1301,2120,1447,1019,
  57,  56,  68,4095,4095,1462,1448,1298,2117,1286,1020,
  56,  57,  69,4095,4095,1463,1449,1298,2119,1289,1021,
  57,  57,  69,4095,4095,1463,1448,1298,2119,1293,1019,
  58,  56,  68,4095,4095,1465,1449,1296,2115,1271,1019,
  56,  55,  69,4095,4095,1464,1449,1299,2115,1265,1019,
  56,  56,  68,4095,4095,1463,1450,1296,2117,1213,1017,
  56,  56,  69,4095,4095,1463,1450,1298,2116,1183,1019,
  55,  56,  69,4095,4095,1464,1449,1298,2116,1121,1019,
  57,  56,  69,4095,4095,1462,1449,1296,2116,1123,1019,
  55,  55,  69,4095,4095,1463,1450,1296,2117,1387,1019,
  57,  56,  70,4095,4095,1461,1450,1298,2120,1399,1019,
  55,  56,  69,4095,4095,1463,1451,1297,2118,1403,1021,
  56,  57,  70,4095,4095,1463,1450,1296,2115,1426,1019,
  56,  56,  68,4095,4095,1462,1449,1297,2114,1430,1018,
  56,  56,  69,4095,4095,1462,1451,1296,2116,1365,1021,
  55,  57,  69,4095,4095,1463,1452,1296,2113,1278,1020,
  55,  57,  69,4095,4095,1463,1451,1300,2117,1281,1018,
  55,  56,  69,4095,4095,1465,1452,1297,2114,1283,1018,
  55,  57,  67,4095,4095,1462,1451,1296,2116,1275,1019,
  56,  56,  69,4095,4095,1464,1449,1299,2113,1256,1019,
