VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
   0,  56,  69,4095,4095,1460,1439,1301,2117,1436,1017,
  57,  72,  69,4095,4095,1460,1439,1300,2117,1448,1018,
  57,  55,  69,4095,4095,1459,1439,1299,2115,1437,1018,
  56,  58,  69,4095,4095,1458,1437,1298,2117,1421,1016,
  58,  57,  68,4095,4095,1459,1438,1297,2117,1427,1015,
  56,  55,  69,4095,4095,1457,1439,1300,2117,1431,1015,
  55,  56,  70,4095,4095,1460,1440,1299,2115,1437,1018,
  56,  56,  69,4095,4095,1459,1438,1300,2118,1435,1018,
  55,  57,  68,4095,4095,1459,1437,1299,2116,1434,1018,
  56,  56,  69,4095,4095,1459,1438,1296,2116,1434,1017,
  56,  57,  69,4095,4095,1459,1439,1300,2115,1437,1018,
  56,  55,  69,4095,4095,1459,1439,1298,2116,1432,1018,
  56,  56,  69,4095,4095,1460,1438,1298,2116,1437,1015,
  56,  57,  69,4095,4095,1460,1439,1300,2117,1437,1017,
  57,  55,  69,4095,4095,1460,1438,1297,2116,1389,1017,
  57,  58,  69,4095,4095,1460,1439,1300,2118,1431,1017,
  58,  57,  69,4095,4095,1461,1437,1299,2115,1439,1016,
  56,  56,  69,4095,4095,1457,1440,1300,2117,1441,1015,
  56,  55,  69,4095,4095,1458,1438,1295,2116,1436,1016,
  56,  56,  70,4095,4095,1460,1438,1298,2117,1438,1017,
  56,  56,  69,4095,4095,1461,1438,1297,2118,1440,1015,
  58,  57,  69,4095,4095,1459,1438,1298,2115,1439,1017,
  56,  56,  69,4095,4095,1458,1438,1296,2117,1438,1017,
  57,  56,  70,4095,4095,1457,1439,1298,2117,1438,1016,
  57,  55,  68,4095,4095,1459,1439,1298,2115,1408,1016,
  57,  57,  69,4095,4095,1459,1441,1297,2118,1434,1015,
  57,  55,  69,4095,4095,1460,1438,1300,2117,1433,1017,
  56,  56,  70,4095,4095,1459,1437,1299,2119,1440,1017,
  57,  55,  70,4095,4095,1458,1438,1300,2118,1433,1016,
  57,  56,  70,4095,4095,1459,1439,1297,2118,1440,1018,
  56,  55,  68,4095,4095,1459,1437,1298,2117,1439,1016,
  57,  56,  69,4095,4095,1460,1438,1298,2115,1418,1017,
  57,  56,  67,4095,4095,1457,1439,1295,2118,1434,1015,
  56,  57,  68,4095,4095,1458,1437,1299,2118,1430,1019,
  55,  56,  68,4095,4095,1459,1438,1300,2117,1440,1017,
  56,  57,  68,4095,4095,1458,1438,1297,2116,1438,1016,
  56,  56,  69,4095,4095,1459,1438,1300,2114,1439,1015,
  56,  55,  69,4095,4095,1458,1437,1298,2117,1438,1017,
  56,  55,  69,4095,4095,1458,1439,1299,2115,1433,1016,
  57,  56,  69,4095,4095,1460,1439,1300,2116,1434,1017,
  56,  57,  69,4095,4095,1458,1438,1300,2120,1431,1017,
  57,  56,  69,4095,4095,1460,1438,1300,2116,1439,1016,
  55,  56,  70,4095,4095,1458,1439,1300,2117,1401,1018,
  56,  56,  69,4095,4095,1459,1439,1301,2115,1440,1016,
  55,  55,  69,4095,4095,1459,1437,1298,2117,1440,1017,
  56,  57,  69,4095,4095,1458,1437,1299,2117,1432,1016,
  56,  55,  69,4095,4095,1458,1438,1299,2116,1436,1018,
  55,  56,  69,4095,4095,1460,1437,1301,2114,1438,1015,
  56,  56,  69,4095,4095,1458,1439,1300,2117,1441,1017,
  58,  55,  70,4095,4095,1458,1439,1297,2117,1387,1016,
  57,  56,  70,4095,4095,1460,1438,1299,2115,1428,1016,
  55,  56,  69,4095,4095,1458,1437,1301,2117,1439,1016,
  56,  56,  69,4095,4095,1459,1440,1295,2117,1441,1017,
  57,  57,  70,4095,4095,1461,1438,1300,2119,1424,1019,
  57,  57,  68,4095,4095,1459,1438,1300,2117,1435,1018,
  55,  56,  69,4095,4095,1458,1437,1297,2116,1437,1016,
  57,  56,  69,4095,4095,1459,1439,1299,2117,1435,1015,
  55,  57,  69,4095,4095,1459,1438,1300,2115,1438,1017,
  56,  56,  70,4095,4095,1459,1438,1295,2118,1435,1015,
  57,  55,  68,4095,4095,1459,1438,1300,2117,1416,1017,
  56,  56,  69,4095,4095,1460,1438,1298,2117,1421,1016,
  56,  55,  69,4095,4095,1458,1439,1299,2116,1437,1017,
  57,  55,  69,4095,4095,1460,1439,1297,2114,1416,1017,
  57,  57,  70,4095,4095,1459,1439,1297,2117,1434,1017,
  56,  56,  69,4095,4095,1460,1438,1297,2117,1437,1017,
  57,  56,  69,4095,4095,1458,1438,1298,2118,1435,1017,
  56,  57,  69,4095,4095,1459,1439,1297,2117,1430,1016,
  57,  55,  69,4095,4095,1459,1437,1300,2117,1435,1017,
  56,  56,  69,4095,4095,1461,1438,1299,2116,1433,1017,
  56,  56,  70,4095,4095,1459,1439,1298,2116,1436,1015,
  55,  56,  70,4095,4095,1458,1440,1298,2118,1436,1017,
  57,  57,  70,4095,4095,1460,1438,1296,2118,1437,1015,
  55,  56,  69,4095,4095,1459,1439,1296,2117,1392,1017,
  55,  57,  69,4095,4095,1460,1437,1299,2117,1423,1016,
  57,  56,  70,4095,4095,1458,1439,1299,2118,1436,1018,
  56,  57,  68,4095,4095,1458,1437,1298,2112,1427,1016,
  57,  56,  69,4095,4095,1459,1440,1297,2116,1429,1017,
  57,  55,  69,4095,4095,1461,1438,1299,2117,1401,1017,
  56,  56,  68,4095,4095,1459,1438,1301,2115,1440,1016,
  56,  55,  68,4095,4095,1457,1439,1300,2117,1430,1017,
  57,  57,  68,4095,4095,1460,1438,1301,2115,1437,1017,
