VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,Curr,5VLine,12VLine,TIn3
   0,  56,2641,4095,4095,1429,1407,1301,2116,1405, 989,
  57,  56,2635,4095,4095,1429,1407,1303,2115,1413, 991,
  57,  55,2633,4095,4095,1430,1407,1300,2117,1414, 989,
  56,  56,2630,4095,4095,1429,1407,1302,2117,1407, 991,
  57,  56,2626,4095,4095,1430,1406,1305,2114,1409, 991,
  58,  57,2639,4095,4095,1430,1407,1302,2118,1416, 992,
  56,  56,2621,4095,4095,1430,1408,1306,2115,1413, 991,
  58,  56,2632,4095,4095,1428,1408,1306,2115,1413, 992,
  57,  56,2635,4095,4095,1430,1406,1306,2115,1415, 990,
  55,  56,2636,4095,4095,1431,1405,1303,2117,1416, 991,
  55,  57,2633,4095,4095,1431,1407,1302,2117,1413, 991,
  57,  55,2635,4095,4095,1430,1408,1301,2113,1402, 991,
  56,  57,2640,4095,4095,1429,1407,1304,2117,1416, 991,
  57,  56,2639,4095,4095,1432,1410,1302,2115,1416, 991,
  57,  57,2625,4095,4095,1430,1406,1302,2115,1398, 991,
  57,  56,2637,4095,4095,1429,1407,1301,2117,1411, 991,
  57,  56,2635,4095,4095,1431,1407,1305,2115,1415, 993,
  57,  55,2639,4095,4095,1430,1407,1304,2115,1416, 991,
  57,  56,2619,4095,4095,1429,1406,1302,2115,1412, 992,
  56,  57,2637,4095,4095,1431,1407,1304,2117,1416, 992,
  58,  55,2617,4095,4095,1430,1409,1303,2115,1411, 991,
  57,  56,2642,4095,4095,1429,1407,1302,2117,1418, 989,
  55,  57,2625,4095,4095,1430,1407,1304,2116,1414, 992,
  56,  57,2637,4095,4095,1430,1408,1306,2115,1419, 990,
  57,  56,2628,4095,4095,1430,1406,1304,2118,1409, 992,
  57,  56,2643,4095,4095,1432,1409,1306,2114,1419, 992,
  57,  57,2607,4095,4095,1429,1409,1304,2116,1391, 992,
